HR: 75 BPM | RR: 893.6 ms
HR: 74 BPM | RR: 863.3 ms
HR: 74 BPM | RR: 929.7 ms
HR: 73 BPM | RR: 985.4 ms
HR: 72 BPM | RR: 987.3 ms
HR: 70 BPM | RR: 938.5 ms, 911.1 ms
HR: 69 BPM | RR: 907.2 ms
HR: 69 BPM | RR: 897.5 ms
HR: 69 BPM | RR: 860.4 ms
HR: 69 BPM | RR: 806.6 ms
HR: 70 BPM | RR: 775.4 ms, 788.1 ms
HR: 70 BPM | RR: 818.4 ms
HR: 71 BPM | RR: 867.2 ms
HR: 71 BPM | RR: 886.7 ms
HR: 71 BPM | RR: 835.9 ms
HR: 71 BPM | RR: 867.2 ms
HR: 70 BPM | RR: 898.4 ms, 885.7 ms
HR: 70 BPM | RR: 873.0 ms
HR: 70 BPM | RR: 801.8 ms
HR: 71 BPM | RR: 801.8 ms, 774.4 ms
HR: 71 BPM | RR: 739.3 ms
HR: 72 BPM | RR: 719.7 ms
HR: 73 BPM | RR: 733.4 ms
HR: 75 BPM | RR: 768.6 ms, 813.5 ms
HR: 75 BPM | RR: 778.3 ms
HR: 75 BPM | RR: 777.3 ms
HR: 75 BPM | RR: 845.7 ms
HR: 75 BPM | RR: 896.5 ms
HR: 74 BPM | RR: 912.1 ms
HR: 73 BPM | RR: 852.5 ms, 862.3 ms
HR: 73 BPM | RR: 876.0 ms
HR: 72 BPM | RR: 877.9 ms
HR: 72 BPM | RR: 885.7 ms
HR: 72 BPM | RR: 832.0 ms
HR: 71 BPM | RR: 840.8 ms
HR: 71 BPM | RR: 855.5 ms, 866.2 ms
HR: 71 BPM | RR: 848.6 ms
HR: 71 BPM | RR: 826.2 ms
HR: 71 BPM | RR: 852.5 ms
HR: 71 BPM | RR: 899.4 ms
HR: 71 BPM | RR: 903.3 ms
HR: 70 BPM | RR: 843.8 ms
HR: 70 BPM | RR: 873.0 ms, 902.3 ms
HR: 70 BPM | RR: 906.2 ms
HR: 70 BPM | RR: 853.5 ms
HR: 69 BPM | RR: 863.3 ms
HR: 70 BPM | RR: 852.5 ms
HR: 70 BPM | RR: 820.3 ms, 769.5 ms
HR: 70 BPM | RR: 742.2 ms
HR: 71 BPM | RR: 758.8 ms
HR: 73 BPM | RR: 778.3 ms, 788.1 ms
HR: 73 BPM | RR: 761.7 ms
HR: 74 BPM | RR: 782.2 ms
HR: 74 BPM | RR: 798.8 ms
HR: 74 BPM | RR: 805.7 ms, 787.1 ms
HR: 74 BPM | RR: 806.6 ms
HR: 74 BPM | RR: 815.4 ms
HR: 74 BPM | RR: 790.0 ms
HR: 75 BPM | RR: 771.5 ms, 793.0 ms
HR: 75 BPM | RR: 792.0 ms
HR: 75 BPM | RR: 753.9 ms, 734.4 ms
HR: 76 BPM | RR: 709.0 ms
HR: 77 BPM | RR: 714.8 ms
HR: 77 BPM | RR: 756.8 ms
HR: 78 BPM | RR: 814.5 ms
HR: 77 BPM | RR: 869.1 ms, 839.8 ms
HR: 76 BPM | RR: 798.8 ms
HR: 76 BPM | RR: 758.8 ms
HR: 76 BPM | RR: 747.1 ms, 775.4 ms
HR: 77 BPM | RR: 818.4 ms
HR: 77 BPM | RR: 865.2 ms
HR: 76 BPM | RR: 881.8 ms
HR: 75 BPM | RR: 831.1 ms
HR: 75 BPM | RR: 865.2 ms
HR: 74 BPM | RR: 911.1 ms, 910.2 ms
HR: 73 BPM | RR: 827.1 ms
HR: 73 BPM | RR: 776.4 ms
HR: 73 BPM | RR: 789.1 ms
HR: 73 BPM | RR: 818.4 ms
HR: 73 BPM | RR: 850.6 ms
HR: 73 BPM | RR: 887.7 ms
HR: 73 BPM | RR: 904.3 ms
HR: 72 BPM | RR: 877.0 ms, 925.8 ms
HR: 71 BPM | RR: 963.9 ms
HR: 70 BPM | RR: 1002.0 ms
HR: 69 BPM | RR: 907.2 ms
HR: 69 BPM | RR: 791.0 ms
HR: 70 BPM | RR: 762.7 ms, 795.9 ms
HR: 71 BPM | RR: 825.2 ms
HR: 71 BPM | RR: 799.8 ms, 772.5 ms
HR: 73 BPM | RR: 440.4 ms, 304.7 ms
HR: 73 BPM | RR: 743.2 ms
HR: 73 BPM | RR: 803.7 ms
HR: 74 BPM | RR: 887.7 ms
HR: 73 BPM | RR: 888.7 ms
HR: 72 BPM | RR: 827.1 ms
HR: 72 BPM | RR: 870.1 ms
HR: 71 BPM | RR: 884.8 ms, 885.7 ms
HR: 71 BPM | RR: 846.7 ms
HR: 71 BPM | RR: 851.6 ms
HR: 71 BPM | RR: 842.8 ms
HR: 71 BPM | RR: 841.8 ms
HR: 71 BPM | RR: 835.9 ms, 822.3 ms
HR: 71 BPM | RR: 843.8 ms
HR: 71 BPM | RR: 858.4 ms
HR: 71 BPM | RR: 877.9 ms
HR: 71 BPM | RR: 848.6 ms
HR: 71 BPM | RR: 835.0 ms
HR: 71 BPM | RR: 854.5 ms, 857.4 ms
HR: 71 BPM | RR: 874.0 ms
HR: 71 BPM | RR: 844.7 ms
HR: 71 BPM | RR: 793.0 ms
HR: 71 BPM | RR: 810.5 ms
HR: 71 BPM | RR: 843.8 ms, 886.7 ms
HR: 71 BPM | RR: 848.6 ms
HR: 71 BPM | RR: 830.1 ms
HR: 71 BPM | RR: 843.8 ms
HR: 71 BPM | RR: 852.5 ms
HR: 71 BPM | RR: 867.2 ms
HR: 71 BPM | RR: 831.1 ms, 850.6 ms
HR: 71 BPM | RR: 865.2 ms
HR: 71 BPM | RR: 888.7 ms
HR: 71 BPM | RR: 855.5 ms
HR: 70 BPM | RR: 822.3 ms
HR: 71 BPM | RR: 823.2 ms, 817.4 ms
HR: 71 BPM | RR: 799.8 ms
HR: 71 BPM | RR: 787.1 ms
HR: 72 BPM | RR: 806.6 ms
HR: 72 BPM | RR: 834.0 ms, 866.2 ms
HR: 72 BPM | RR: 812.5 ms
HR: 72 BPM | RR: 811.5 ms
HR: 72 BPM | RR: 821.3 ms
HR: 72 BPM | RR: 821.3 ms, 785.2 ms
HR: 73 BPM | RR: 752.9 ms
HR: 73 BPM | RR: 766.6 ms
HR: 74 BPM | RR: 780.3 ms
HR: 74 BPM | RR: 773.4 ms, 756.8 ms
HR: 75 BPM | RR: 795.9 ms
HR: 75 BPM | RR: 827.1 ms
HR: 75 BPM | RR: 849.6 ms
HR: 75 BPM | RR: 857.4 ms
HR: 74 BPM | RR: 883.8 ms
HR: 73 BPM | RR: 903.3 ms, 856.4 ms
HR: 73 BPM | RR: 857.4 ms
HR: 72 BPM | RR: 826.2 ms
HR: 73 BPM | RR: 759.8 ms, 719.7 ms
HR: 73 BPM | RR: 710.9 ms
HR: 76 BPM | RR: 698.2 ms, 680.7 ms
HR: 77 BPM | RR: 715.8 ms
HR: 78 BPM | RR: 783.2 ms
HR: 78 BPM | RR: 786.1 ms
HR: 78 BPM | RR: 836.9 ms
HR: 77 BPM | RR: 876.0 ms, 862.3 ms
HR: 76 BPM | RR: 799.8 ms
HR: 76 BPM | RR: 818.4 ms
HR: 75 BPM | RR: 837.9 ms
HR: 75 BPM | RR: 835.0 ms
HR: 75 BPM | RR: 823.2 ms, 840.8 ms
HR: 74 BPM | RR: 845.7 ms
